sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
139,328,SINTEX,SINTEX-I,SINTEX FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.50E+18,1.50E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
140,-1,NONE,AXISBANK,AXISBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
141,71,LT,LT-I,LT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
142,333,CEATLTD,CEATLTD-I,CEATLTD FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
143,255,IDFCBANK,IDFCBANK-I,IDFCBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
144,-1,NONE,APOLLOTYRE,APOLLOTYRE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
145,-1,NONE,AMBUJACEM,AMBUJACEM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
146,-1,NONE,ITC,ITC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
147,80,TV18BRDCST,TV18BRDCST-I,TV18BRDCST FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
148,-1,NONE,TATAELXSI,TATAELXSI,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
149,-1,NONE,IDEA,IDEA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
150,36,ADANIENT,ADANIENT-I,ADANIENT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
151,212,RCOM,RCOM-I,RCOM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
152,173,HEROMOTOCO,HEROMOTOCO-I,HEROMOTOCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
153,-1,NONE,NTPC,NTPC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
154,-1,NONE,M&MFIN,M&MFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
155,114,BHARTIARTL,BHARTIARTL-I,BHARTIARTL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
156,-1,NONE,TATAPOWER,TATAPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
157,187,ACC,ACC-I,ACC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
158,108,DIVISLAB,DIVISLAB-I,DIVISLAB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
159,-1,NONE,CENTURYTEX,CENTURYTEX,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
160,275,M&M,M&M-I,M&M FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
161,67,TCS,TCS-I,TCS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
162,175,RELCAPITAL,RELCAPITAL-I,RELCAPITAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
163,-1,NONE,NIFTY-I,NIFTY50 FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
164,-1,NONE,TORNTPOWER,TORNTPOWER,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
165,309,TATASTEEL,TATASTEEL-I,TATASTEEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
166,-1,NONE,PTC,PTC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
167,290,COLPAL,COLPAL-I,COLPAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
168,-1,NONE,CAIRN,CAIRN,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
169,217,ICIL,ICIL-I,ICIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
170,133,BAJFINANCE,BAJFINANCE-I,BAJFINANCE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
171,8,MCDOWELL-N,MCDOWELL-N-I,MCDOWELL-N FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
172,-1,NONE,GODREJIND,GODREJIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
173,-1,NONE,HEROMOTOCO,HEROMOTOCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
174,-1,NONE,ICICIBANK,ICICIBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
175,-1,NONE,RELCAPITAL,RELCAPITAL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
176,270,KTKBANK,KTKBANK-I,KTKBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
177,153,NTPC,NTPC-I,NTPC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
178,248,CUMMINSIND,CUMMINSIND-I,CUMMINSIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
179,-1,NONE,GAIL,GAIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
180,164,TORNTPOWER,TORNTPOWER-I,TORNTPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
181,330,KOTAKBANK,KOTAKBANK-I,KOTAKBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
182,307,BHEL,BHEL-I,BHEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
183,-1,NONE,LUPIN,LUPIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
184,131,ANDHRABANK,ANDHRABANK-I,ANDHRABANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
185,-1,NONE,AJANTPHARM,AJANTPHARM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
186,-1,NONE,IBREALEST,IBREALEST,0,0,0,1,0.01,1.48E+18,1.51E+18,1.51E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
187,-1,NONE,ACC,ACC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
188,272,GMRINFRA,GMRINFRA-I,GMRINFRA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
189,322,IRB,IRB-I,IRB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
190,281,HINDZINC,HINDZINC-I,HINDZINC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
191,-1,NONE,IGL,IGL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
192,-1,NONE,NCC,NCC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
193,231,BIOCON,BIOCON-I,BIOCON FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
194,-1,NONE,DHFL,DHFL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
195,-1,NONE,YESBANK,YESBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
196,269,LICHSGFIN,LICHSGFIN-I,LICHSGFIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
197,-1,NONE,NHPC,NHPC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
198,338,ADANIPORTS,ADANIPORTS-I,ADANIPORTS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
199,135,NMDC,NMDC-I,NMDC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
200,-1,NONE,BHARATFIN,BHARATFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
201,237,CROMPGREAV,CROMPGREAV-I,CROMPGREAV FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
202,343,IFCI,IFCI-I,IFCI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
203,-1,NONE,NIITTECH,NIITTECH,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
204,-1,NONE,APOLLOHOSP,APOLLOHOSP,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
205,-1,NONE,JPASSOCIAT,JPASSOCIAT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
206,-1,NONE,WIPRO,WIPRO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
207,-1,NONE,DRREDDY,DRREDDY,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
208,-1,NONE,EXIDEIND,EXIDEIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
209,124,TATAGLOBAL,TATAGLOBAL-I,TATAGLOBAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
210,-1,NONE,CADILAHC,CADILAHC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
211,-1,NONE,GRASIM,GRASIM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
212,-1,NONE,RCOM,RCOM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
213,1,HAVELLS,HAVELLS-I,HAVELLS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
214,101,PFC,PFC-I,PFC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
215,240,POWERGRID,POWERGRID-I,POWERGRID FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
216,345,HCLTECH,HCLTECH-I,HCLTECH FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
217,-1,NONE,ICIL,ICIL,0,0,0,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
218,-1,NONE,ZEEL,ZEEL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
219,37,BEML,BEML-I,BEML FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
220,-1,NONE,IBULHSGFIN,IBULHSGFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
221,-1,NONE,INDUSINDBK,INDUSINDBK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
222,299,AMARAJABAT,AMARAJABAT-I,AMARAJABAT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
223,-1,NONE,VEDL,VEDL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
224,-1,NONE,BAJAJ-AUTO,BAJAJ-AUTO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
225,-1,NONE,ULTRACEMCO,ULTRACEMCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
226,332,JUSTDIAL,JUSTDIAL-I,JUSTDIAL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
227,156,TATAPOWER,TATAPOWER-I,TATAPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
228,-1,NONE,SAIL,SAIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
229,50,BANKBARODA,BANKBARODA-I,BANKBARODA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
230,-1,NONE,TATACOMM,TATACOMM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
231,-1,NONE,BIOCON,BIOCON,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
232,-1,NONE,ARVIND,ARVIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
233,342,RELINFRA,RELINFRA-I,RELINFRA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
234,282,RELIANCE,RELIANCE-I,RELIANCE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
235,306,IDBI,IDBI-I,IDBI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
236,-1,NONE,SBIN,SBIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
237,-1,NONE,CROMPGREAV,CROMPGREAV,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
238,140,AXISBANK,AXISBANK-I,AXISBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
239,-1,NONE,OIL,OIL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
240,-1,NONE,POWERGRID,POWERGRID,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
241,-1,NONE,ORIENTBANK,ORIENTBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
242,-1,NONE,GLENMARK,GLENMARK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
243,224,BAJAJ-AUTO,BAJAJ-AUTO-I,BAJAJ-AUTO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
244,324,L&TFH,L&TFH-I,L&TFH FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
245,225,ULTRACEMCO,ULTRACEMCO-I,ULTRACEMCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
246,130,JSWSTEEL,JSWSTEEL-I,JSWSTEEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
247,24,DABUR,DABUR-I,DABUR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
248,-1,NONE,CUMMINSIND,CUMMINSIND,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
249,-1,NONE,ENGINERSIN,ENGINERSIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
250,63,TORNTPHARM,TORNTPHARM-I,TORNTPHARM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
251,259,ASHOKLEY,ASHOKLEY-I,ASHOKLEY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
252,-1,NONE,BANKNIFTY-I,NIFTYBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
253,-1,NONE,AUROPHARMA,AUROPHARMA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
254,-1,NONE,IOC,IOC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
255,-1,NONE,IDFCBANK,IDFCBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
256,-1,NONE,NIFTY-II,NIFTY50 SECOND FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
257,-1,NONE,HINDALCO,HINDALCO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
258,-1,NONE,ALBK,ALBK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
259,-1,NONE,ASHOKLEY,ASHOKLEY,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
260,18,MCLEODRUSS,MCLEODRUSS-I,MCLEODRUSS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
261,-1,NONE,BHARATFORG,BHARATFORG,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
262,-1,NONE,KPIT,KPIT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
263,34,EICHERMOT,EICHERMOT-I,EICHERMOT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
264,310,TECHM,TECHM-I,TECHM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
265,-1,NONE,JSWENERGY,JSWENERGY,0,0,0,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
266,194,DHFL,DHFL-I,DHFL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
267,-1,NONE,JETAIRWAYS,JETAIRWAYS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
268,239,OIL,OIL-I,OIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
269,-1,NONE,LICHSGFIN,LICHSGFIN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
270,-1,NONE,KTKBANK,KTKBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
271,-1,NONE,ABIRLANUVO,ABIRLANUVO,0,0,0,1,0.01,1.48E+18,1.50E+18,1.50E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
272,-1,NONE,GMRINFRA,GMRINFRA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
273,90,MRF,MRF-I,MRF FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
274,-1,NONE,NIFTY50,NIFTY50,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
275,-1,NONE,M&M,M&M,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
276,179,GAIL,GAIL-I,GAIL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
277,126,MINDTREE,MINDTREE-I,MINDTREE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
278,4,BPCL,BPCL-I,BPCL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
279,207,DRREDDY,DRREDDY-I,DRREDDY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
280,-1,NONE,OFSS,OFSS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
281,-1,NONE,HINDZINC,HINDZINC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
282,-1,NONE,RELIANCE,RELIANCE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
283,-1,NONE,HEXAWARE,HEXAWARE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
