sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
11,351,UNIONBANK,UNIONBANK-I,UNIONBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
12,-1,NONE,BEL,BEL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
13,-1,NONE,MARICO,MARICO,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
14,-1,NONE,UBL,UBL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
15,317,HDFC,HDFC-I,HDFC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
16,13,MARICO,MARICO-I,MARICO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
17,136,DLF,DLF-I,DLF FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
18,-1,NONE,MCLEODRUSS,MCLEODRUSS,0,0,0,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
19,14,UBL,UBL-I,UBL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
20,120,CANBK,CANBK-I,CANBK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
21,31,GODREJCP,GODREJCP-I,GODREJCP FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
22,-1,NONE,FEDERALBNK,FEDERALBNK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
23,-1,NONE,INDIAVIX,INDIAVIX,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
24,-1,NONE,DABUR,DABUR,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
25,232,ARVIND,ARVIND-I,ARVIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
26,32,TITAN,TITAN-I,TITAN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
